SMILES,IC50_nM,pIC50
CC(C)c1cc(C(=O)Nc2cnn(Cc3cnccc3C(F)(F)F)c2)no1,25000.0,4.6
CC(CNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1)c1ccccc1,660.0,6.18
CC(c1ccccc1)n1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,45000.0,4.346787486224656
CC1(C(=O)Nc2ccccc2)CN(C(=O)c2cc(-c3ccccc3)on2)C1,45000.0,4.346787486224656
CC1(c2cc(C(=O)Nc3cnn(Cc4cccc(F)c4)c3)no2)COC1,45000.0,4.346787486224656
CC1(c2cc(C(=O)Nc3cnn(Cc4ccccc4)c3)no2)COC1,210.0,6.68
CC1(c2ccccc2)CCN(C(=O)c2cc(-c3ccc4c(c3)OCO4)on2)CC1,45000.0,4.346787486224656
CC1CN(c2ccccc2)CCN1C(=O)c1cc(-c2ccc3c(c2)OCO3)on1,45000.0,4.346787486224656
CC1CN(c2nccnn2)CCC1Oc1cc(C(F)(F)F)ccc1Cl,550.0,6.26
CC1CN(c2nccnn2)CCC1Oc1cc(Cl)ccc1Cl,650.0,6.19
CCCCCCCCC1=C(CCCCCCCC(=O)O)C1,300.0,6.52
CCCCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,4.5,8.35
CCCCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,17.0,7.77
CCCCCCCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,1100.0,5.96
CCCCCCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,24.0,7.62
CCCCCCNC(=O)c1ncc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)cn1,6400.0,5.19
CCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)cc1,3.0,8.52
CCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CC(=O)O)cs2)s1,4.8,8.32
CCCCCCc1ccccc1NCc1ccc(C(=O)Nc2nc(CCO)cs2)s1,4.5,8.35
